TimeRemaining,AwayPlay,Score,HomePlay
10:21.0, ,56-69,T. Gibson enters the game for I. Hartenstein
10:21.0,B. Lopez makes free throw 1 of 2,57-69, 
10:21.0,B. Lopez makes free throw 2 of 2,58-69, 
10:00.0, ,58-69,J. Randle misses 2-pt jump shot from 5 ft
9:56.0,Defensive rebound by B. Lopez,58-69, 
9:46.0,G. Antetokounmpo misses 2-pt layup from 2 ft,58-69, 
9:44.0, ,58-69,Defensive rebound by T. Gibson
9:34.0, ,58-69,T. Gibson misses 3-pt jump shot from 23 ft
9:31.0,Defensive rebound by M. Beasley,58-69, 
9:21.0,D. Lillard misses 2-pt jump shot from 18 ft,58-69, 
9:18.0, ,58-69,Defensive rebound by R. Barrett
9:11.0, ,58-69,Turnover by R. Barrett (traveling)
9:04.0,Offensive foul by G. Antetokounmpo (drawn by D. DiVincenzo),58-69, 
9:04.0,Turnover by G. Antetokounmpo (offensive foul),58-69, 
8:57.0, ,58-69,Personal foul by K. Middleton (drawn by T. Gibson)
8:53.0, ,58-69,Shooting foul by B. Lopez (drawn by R. Barrett)
8:53.0,A. Jackson enters the game for M. Beasley,58-69, 
8:53.0, ,58-70,R. Barrett makes free throw 1 of 2
8:53.0, ,58-71,R. Barrett makes free throw 2 of 2
8:42.0,Shooting foul by D. DiVincenzo (drawn by G. Antetokounmpo),58-71, 
8:42.0,G. Antetokounmpo makes free throw 1 of 2,59-71, 
8:42.0,G. Antetokounmpo misses free throw 2 of 2,59-71, 
8:39.0,Offensive rebound by B. Lopez,59-71, 
8:39.0,Shooting foul by D. DiVincenzo (drawn by D. Lillard),59-71, 
8:39.0,D. Lillard makes free throw 1 of 3,60-71, 
8:39.0,D. Lillard makes free throw 2 of 3,61-71, 
8:39.0,D. Lillard makes free throw 3 of 3,62-71, 
8:29.0, ,62-71,J. Brunson misses 3-pt jump shot from 27 ft
8:26.0,Defensive rebound by G. Antetokounmpo,62-71, 
8:21.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,62-71, 
8:18.0, ,62-71,Defensive rebound by J. Brunson
8:15.0, ,62-73,J. Randle makes 2-pt layup from 1 ft (assist by J. Brunson)
7:57.0,G. Antetokounmpo misses 2-pt layup from 1 ft,62-73, 
7:53.0, ,62-73,Defensive rebound by R. Barrett
7:51.0, ,62-73,Personal foul by K. Middleton (drawn by R. Barrett)
7:44.0, ,62-75,J. Brunson makes 2-pt layup from 2 ft
7:43.0,Milwaukee full timeout,62-75, 
7:26.0,B. Lopez makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo),64-75, 
7:08.0, ,64-75,J. Brunson misses 2-pt layup from 2 ft (block by G. Antetokounmpo)
7:08.0, ,64-75,Offensive rebound by Team
7:03.0, ,64-77,J. Randle makes 2-pt jump shot from 3 ft (assist by T. Gibson)
6:48.0,Shooting foul by T. Gibson (drawn by D. Lillard),64-77, 
6:48.0,D. Lillard makes free throw 1 of 2,65-77, 
6:48.0,D. Lillard makes free throw 2 of 2,66-77, 
6:32.0, ,66-77,D. DiVincenzo misses 3-pt jump shot from 23 ft
6:28.0,Defensive rebound by G. Antetokounmpo,66-77, 
6:20.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),68-77, 
5:58.0, ,68-77,Turnover by D. DiVincenzo (out of bounds lost ball)
5:58.0,P. Connaughton enters the game for B. Lopez,68-77, 
5:58.0,B. Portis enters the game for K. Middleton,68-77, 
5:52.0,Personal foul by D. DiVincenzo (drawn by G. Antetokounmpo),68-77, 
5:52.0, ,68-77,J. Hart enters the game for R. Barrett
5:52.0, ,68-77,I. Quickley enters the game for D. DiVincenzo
5:52.0,G. Antetokounmpo makes free throw 1 of 2,69-77, 
5:52.0,G. Antetokounmpo makes free throw 2 of 2,70-77, 
5:37.0, ,70-77,J. Randle misses 3-pt jump shot from 25 ft
5:33.0,Defensive rebound by A. Jackson,70-77, 
5:28.0,P. Connaughton makes 3-pt jump shot from 24 ft (assist by A. Jackson),73-77, 
5:17.0, ,73-77,New York full timeout
5:03.0, ,73-77,Turnover by I. Quickley (bad pass; steal by P. Connaughton)
4:54.0,Offensive foul by B. Portis (drawn by I. Quickley),73-77, 
4:54.0,Turnover by B. Portis (offensive foul),73-77, 
4:46.0, ,73-79,J. Brunson makes 2-pt jump shot from 9 ft
4:46.0, ,73-79,Shooting foul by A. Jackson (drawn by J. Brunson)
4:46.0, ,73-80,J. Brunson makes free throw 1 of 1
4:24.0,D. Lillard makes 2-pt layup from 2 ft,75-80, 
4:05.0, ,75-80,Personal foul by D. Lillard (drawn by I. Quickley)
4:05.0, ,75-81,I. Quickley makes free throw 1 of 2
4:05.0, ,75-82,I. Quickley makes free throw 2 of 2
3:42.0,G. Antetokounmpo makes 2-pt jump shot from 13 ft (assist by D. Lillard),77-82, 
3:32.0, ,77-82,Shooting foul by G. Antetokounmpo (drawn by J. Brunson)
3:32.0, ,77-83,J. Brunson makes free throw 1 of 2
3:32.0, ,77-84,J. Brunson makes free throw 2 of 2
3:19.0,D. Lillard makes 2-pt jump shot from 8 ft,79-84, 
2:59.0, ,79-86,J. Hart makes 2-pt jump shot from 8 ft (assist by J. Brunson)
2:45.0,P. Connaughton misses 3-pt jump shot from 23 ft,79-86, 
2:43.0, ,79-86,Defensive rebound by J. Hart
2:39.0, ,79-88,J. Hart makes 2-pt layup from 1 ft
2:39.0,Violation by Team (def goaltending),79-88, 
2:27.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. Lillard),81-88, 
2:07.0, ,81-90,J. Hart makes 2-pt jump shot from 8 ft
1:50.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft,84-90, 
1:45.0, ,84-90,Personal foul by A. Jackson (drawn by J. Randle)
1:45.0,B. Lopez enters the game for G. Antetokounmpo,84-90, 
1:45.0,K. Middleton enters the game for A. Jackson,84-90, 
