TimeRemaining,AwayPlay,Score,HomePlay
5:32.0, ,51-42,Personal foul by D. Exum (drawn by D. Booker)
5:32.0, ,51-43,D. Booker makes free throw 1 of 2
5:32.0,T. Hardaway enters the game for G. Williams,51-43, 
5:32.0, ,51-44,D. Booker makes free throw 2 of 2
5:18.0,L. Dončić makes 2-pt layup from 2 ft,53-44, 
4:58.0, ,53-44,Turnover by G. Allen (step out of bounds)
4:43.0,D. Jones misses 3-pt jump shot from 23 ft,53-44, 
4:39.0, ,53-44,Defensive rebound by G. Allen
4:32.0, ,53-44,G. Allen misses 3-pt jump shot from 30 ft
4:30.0, ,53-44,Offensive rebound by C. Metu
4:22.0, ,53-44,C. Metu misses 3-pt jump shot from 26 ft
4:19.0,Defensive rebound by Team,53-44, 
4:02.0,D. Exum makes 3-pt jump shot from 23 ft (assist by L. Dončić),56-44, 
3:51.0, ,56-44,D. Booker misses 2-pt jump shot from 12 ft
3:51.0,Defensive rebound by Team,56-44, 
3:51.0, ,56-44,Loose ball foul by D. Eubanks (drawn by D. Jones)
3:51.0, ,56-44,K. Durant enters the game for D. Eubanks
3:40.0,L. Dončić misses 2-pt jump shot from 12 ft,56-44, 
3:36.0, ,56-44,Defensive rebound by C. Metu
3:29.0, ,56-44,G. Allen misses 3-pt jump shot from 22 ft
3:27.0,Defensive rebound by D. Lively,56-44, 
3:20.0,L. Dončić misses 3-pt jump shot from 28 ft,56-44, 
3:16.0, ,56-44,Defensive rebound by K. Durant
3:08.0, ,56-44,E. Gordon misses 3-pt jump shot from 22 ft
3:06.0,Defensive rebound by D. Lively,56-44, 
2:56.0,T. Hardaway misses 3-pt jump shot from 23 ft,56-44, 
2:54.0, ,56-44,Defensive rebound by K. Durant
2:50.0, ,56-44,D. Booker misses 2-pt layup from 3 ft
2:48.0,Defensive rebound by D. Lively,56-44, 
2:42.0,Shooting foul by G. Allen (drawn by L. Dončić),56-44, 
2:42.0,Dallas full timeout,56-44, 
2:42.0,D. Powell enters the game for D. Exum,56-44, 
2:42.0,G. Williams enters the game for D. Lively,56-44, 
2:42.0,L. Dončić makes free throw 1 of 2,57-44, 
