TimeRemaining,AwayPlay,Score,HomePlay
2:52.0, ,49-53,M. Porter misses 3-pt jump shot from 23 ft
2:52.0,Defensive rebound by Team,49-53, 
2:46.0,S. Curry makes 3-pt jump shot from 27 ft,52-53, 
2:27.0, ,52-53,J. Murray misses 2-pt jump shot from 18 ft
2:24.0,Defensive rebound by K. Looney,52-53, 
2:19.0,Turnover by S. Curry (traveling),52-53, 
1:57.0, ,52-53,K. Caldwell-Pope misses 3-pt jump shot from 26 ft
1:55.0,Defensive rebound by K. Looney,52-53, 
1:42.0,Personal foul by J. Murray (drawn by A. Wiggins),52-53, 
1:42.0, ,52-53,R. Jackson enters the game for J. Murray
1:26.0,K. Looney makes 2-pt layup from 3 ft,54-53, 
1:10.0, ,54-53,N. Jokić misses 3-pt jump shot from 24 ft
1:06.0,Defensive rebound by A. Wiggins,54-53, 
0:54.0,C. Paul misses 2-pt jump shot from 10 ft,54-53, 
0:52.0, ,54-53,Defensive rebound by Team
0:40.0, ,54-53,Turnover by R. Jackson (bad pass)
0:40.0, ,54-53,P. Watson enters the game for R. Jackson
0:33.0, ,54-53,Violation by Team (kicked ball)
0:32.0,Turnover by K. Thompson (traveling),54-53, 
0:24.0, ,54-53,Personal foul by A. Wiggins (drawn by A. Gordon)
0:24.0,B. Podziemski enters the game for A. Wiggins,54-53, 
0:13.0, ,54-53,M. Porter misses 3-pt jump shot from 24 ft
0:10.0,Defensive rebound by Team,54-53, 
0:10.0,T. Jackson-Davis enters the game for K. Looney,54-53, 
0:10.0, ,54-53,C. Braun enters the game for A. Gordon
0:00.0,K. Thompson misses 3-pt jump shot from 27 ft,54-53, 
0:00.0, ,54-53,Defensive rebound by M. Porter
0:00.0, ,54-53,M. Porter misses 3-pt jump shot from 66 ft
0:00.0, ,54-53,Offensive rebound by Team
11:47.0,S. Curry misses 3-pt jump shot from 27 ft,54-53, 
11:43.0,Offensive rebound by B. Podziemski,54-53, 
11:42.0,S. Curry misses 3-pt jump shot from 26 ft,54-53, 
11:39.0, ,54-53,Defensive rebound by M. Porter
11:32.0, ,54-53,Personal foul by K. Thompson (drawn by A. Gordon)
11:21.0, ,54-55,A. Gordon makes 2-pt dunk at rim (assist by K. Caldwell-Pope)
11:07.0,K. Looney makes 2-pt layup from 3 ft (assist by S. Curry),56-55, 
10:50.0, ,56-55,A. Gordon misses 3-pt jump shot from 24 ft
10:46.0,Defensive rebound by S. Curry,56-55, 
10:41.0,Shooting foul by N. Jokić (drawn by J. Kuminga),56-55, 
10:41.0,J. Kuminga makes free throw 1 of 2,57-55, 
10:41.0,J. Kuminga makes free throw 2 of 2,58-55, 
10:29.0, ,58-55,K. Caldwell-Pope misses 2-pt layup from 2 ft
10:27.0, ,58-55,Offensive rebound by A. Gordon
10:24.0, ,58-58,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by N. Jokić)
10:04.0,J. Kuminga makes 2-pt layup at rim (assist by K. Thompson),60-58, 
9:42.0, ,60-60,J. Murray makes 2-pt jump shot from 7 ft
9:33.0,Shooting foul by M. Porter (drawn by J. Kuminga),60-60, 
9:33.0,J. Kuminga misses free throw 1 of 2,60-60, 
9:33.0,Offensive rebound by Team,60-60, 
9:33.0,J. Kuminga makes free throw 2 of 2,61-60, 
9:14.0, ,61-60,Turnover by N. Jokić (bad pass; steal by B. Podziemski)
9:10.0,S. Curry makes 2-pt layup from 3 ft (assist by J. Kuminga),63-60, 
9:01.0, ,63-60,Shooting foul by B. Podziemski (drawn by J. Murray)
9:01.0, ,63-61,J. Murray makes free throw 1 of 3
9:01.0, ,63-62,J. Murray makes free throw 2 of 3
9:01.0, ,63-63,J. Murray makes free throw 3 of 3
8:50.0,S. Curry makes 2-pt layup from 1 ft,65-63, 
8:38.0, ,65-66,J. Murray makes 3-pt jump shot from 25 ft
8:12.0,J. Kuminga makes 2-pt dunk from 1 ft (assist by B. Podziemski),67-66, 
7:49.0, ,67-68,A. Gordon makes 2-pt dunk at rim (assist by N. Jokić)
7:33.0,S. Curry misses 2-pt jump shot from 16 ft,67-68, 
7:31.0, ,67-68,Defensive rebound by A. Gordon
7:28.0, ,67-70,K. Caldwell-Pope makes 2-pt dunk at rim (assist by A. Gordon)
7:10.0,S. Curry makes 3-pt jump shot from 25 ft (assist by B. Podziemski),70-70, 
7:00.0, ,70-70,Shooting foul by K. Looney (drawn by N. Jokić)
7:00.0, ,70-71,N. Jokić makes free throw 1 of 2
7:00.0,C. Paul enters the game for B. Podziemski,70-71, 
7:00.0, ,70-72,N. Jokić makes free throw 2 of 2
6:45.0,Shooting foul by J. Murray (drawn by J. Kuminga),70-72, 
6:45.0, ,70-72,Denver full timeout
6:45.0, ,70-72,Instant Replay (Challenge: Stands)
6:45.0, ,70-72,R. Jackson enters the game for J. Murray
6:45.0,J. Kuminga misses free throw 1 of 2,70-72, 
6:45.0,Offensive rebound by Team,70-72, 
6:45.0,J. Kuminga misses free throw 2 of 2,70-72, 
6:43.0, ,70-72,Defensive rebound by M. Porter
6:29.0, ,70-72,Shooting foul by S. Curry (drawn by N. Jokić)
6:29.0, ,70-73,N. Jokić makes free throw 1 of 2
6:29.0, ,70-74,N. Jokić makes free throw 2 of 2
6:15.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by C. Paul),73-74, 
5:57.0, ,73-74,M. Porter misses 3-pt jump shot from 26 ft
5:54.0,Defensive rebound by C. Paul,73-74, 
5:49.0,K. Thompson misses 3-pt jump shot from 26 ft (block by M. Porter),73-74, 
5:44.0, ,73-74,Defensive rebound by M. Porter
5:39.0, ,73-76,M. Porter makes 2-pt layup from 1 ft
5:21.0,S. Curry misses 2-pt jump shot from 9 ft,73-76, 
5:21.0, ,73-76,Defensive rebound by K. Caldwell-Pope
5:13.0, ,73-76,Personal foul by C. Paul (drawn by R. Jackson)
5:13.0, ,73-77,R. Jackson makes free throw 1 of 2
5:13.0,T. Jackson-Davis enters the game for J. Kuminga,73-77, 
5:13.0,D. Šarić enters the game for K. Looney,73-77, 
5:13.0,A. Wiggins enters the game for K. Thompson,73-77, 
5:13.0, ,73-77,P. Watson enters the game for A. Gordon
5:13.0, ,73-78,R. Jackson makes free throw 2 of 2
4:51.0,T. Jackson-Davis makes 2-pt layup at rim (assist by S. Curry),75-78, 
4:45.0, ,75-78,Offensive foul by R. Jackson (drawn by S. Curry)
4:45.0, ,75-78,Turnover by R. Jackson (offensive foul)
4:37.0,S. Curry misses 3-pt jump shot from 26 ft,75-78, 
4:34.0, ,75-78,Defensive rebound by N. Jokić
4:28.0, ,75-78,P. Watson misses 2-pt layup from 2 ft
4:26.0,Defensive rebound by T. Jackson-Davis,75-78, 
4:21.0,D. Šarić misses 3-pt jump shot from 24 ft,75-78, 
4:18.0, ,75-78,Defensive rebound by N. Jokić
4:14.0, ,75-81,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by P. Watson)
3:53.0,C. Paul misses 2-pt jump shot from 18 ft,75-81, 
3:49.0,Offensive rebound by C. Paul,75-81, 
3:49.0,C. Paul makes 2-pt jump shot from 13 ft,77-81, 
3:43.0, ,77-81,Personal foul by T. Jackson-Davis (drawn by N. Jokić)
3:43.0, ,77-82,N. Jokić makes free throw 1 of 2
3:43.0,Golden State full timeout,77-82, 
3:43.0,B. Podziemski enters the game for S. Curry,77-82, 
3:43.0, ,77-82,C. Braun enters the game for M. Porter
3:43.0, ,77-83,N. Jokić makes free throw 2 of 2
3:36.0,Turnover by C. Paul (bad pass; steal by K. Caldwell-Pope),77-83, 
3:31.0, ,77-85,K. Caldwell-Pope makes 2-pt layup from 1 ft
3:11.0,D. Šarić misses 2-pt layup from 4 ft,77-85, 
3:09.0, ,77-85,Defensive rebound by N. Jokić
2:50.0, ,77-85,Shooting foul by T. Jackson-Davis (drawn by C. Braun)
2:50.0, ,77-85,C. Braun misses free throw 1 of 2
2:50.0, ,77-85,Offensive rebound by Team
2:50.0, ,77-85,C. Braun misses free throw 2 of 2
2:47.0,Defensive rebound by B. Podziemski,77-85, 
2:36.0,T. Jackson-Davis makes 2-pt dunk from 1 ft (assist by B. Podziemski),79-85, 
2:21.0, ,79-85,N. Jokić misses 2-pt jump shot from 13 ft
2:17.0,Defensive rebound by D. Šarić,79-85, 
2:11.0,C. Paul makes 3-pt jump shot from 26 ft,82-85, 
1:53.0, ,82-88,C. Braun makes 3-pt jump shot from 24 ft (assist by N. Jokić)
1:35.0,B. Podziemski makes 3-pt jump shot from 26 ft (assist by T. Jackson-Davis),85-88, 
